analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,code_a1,code_a2,code_a3,code_a4,code_a5,code_confidence,code_label,code_note,code_reasons,code_supporting_urls,code_vote_summary,data_a1,data_a2,data_a3,data_a4,data_a5,data_confidence,data_label,data_named_public_benchmark,data_note,data_public_benchmark_name,data_public_benchmark_note,data_public_external_dataset,data_public_external_dataset_note,data_public_external_dataset_type,data_reasons,data_supporting_urls,data_vote_summary,doi,evidence_pointer,judge_vote_summary,main_urls,note,paper_id,phm_relevant,relevance_confidence,relevance_intro_excerpt,relevance_label,relevance_note,relevance_reasons,relevance_review_required,repro_audit_eligible,repro_score,retrieval_status,review_required,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3144,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,1,0,0,0,0.68,A2,False,"To the best of our knowledge, this is the only currently available public data set for internal faults on hydraulic rock drills.",,,False,,,"[""ambiguous_public_claim""]",[],openai/gpt-4o-mini:A2@0.68; anthropic/claude-3.5-haiku:A2@0.63; google/gemini-1.5-flash:A2@0.58,10.36001/phmconf.2022.v14i1.3144,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3144,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A2@0.68; anthropic/claude-3.5-haiku:A2@0.63; google/gemini-1.5-flash:A2@0.58,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3144/phmc_22_3144""]","To the best of our knowledge, this is the only currently available public data set for internal faults on hydraulic rock drills.",phm-2022-3144,,,,,,[],False,True,3,full_text,False,phm,pypdf,"A Dataset for Fault Classification in Rock Drills, a Fast Oscillating Hydraulic System",Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3224,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,IMS,"NASA IMS Bearing Dataset The degradation of bearings is considered a nonlinear process, which can be seen from the NASA IMS bearing dataset [Lee, et al.",True,"NASA IMS Bearing Dataset The degradation of bearings is considered a nonlinear process, which can be seen from the NASA IMS bearing dataset [Lee, et al.",named_benchmark,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3224,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3224,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3224/phmc_22_3224""]",,phm-2022-3224,,,,,,[],False,True,0,full_text,False,phm,pypdf,Machining Tool and Bearing Failure Analysis Using the Orthogonal Hilbert-Huang Transform on Vibration and Motor Current Datasets,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3148,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3148,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3148,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3148/phmc_22_3148""]",,phm-2022-3148,,,,,,[],False,True,0,full_text,False,phm,pypdf,Towards Predictive Maintenance of a Heavy-Duty Gas Turbine A New Hybrid Intelligent Methodology for Performance Simulation,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3188,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,C-MAPSS,"We develop synthetic data to illustrate the data quality scorecard assessment process based on the widely used open source C-MAPSS (Commercial Modular Aero-Propulsion System Simulation) data set, which is simulated data for turbo-fan engine degradation (Saxena et al., 2008).",True,"We develop synthetic data to illustrate the data quality scorecard assessment process based on the widely used open source C-MAPSS (Commercial Modular Aero-Propulsion System Simulation) data set, which is simulated data for turbo-fan engine degradation (Saxena et al., 2008).",named_benchmark,"[""standard_benchmark_link""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3188,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3188,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3188/phmc_22_3188"", ""https://papers.phmsociety.org/index.php/phmconf/article/download/3188/2057""]",,phm-2022-3188,,,,,,[],False,True,0,full_text,False,phm,pypdf,A Data Quality Scorecard for Assessing the Suitability of Asset Condition Data for Prognostics Modeling,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3156,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,PRONOSTIA,"Critical Components’ Selection Methodology of a Microgripper for Intracorporeal Surgegy Liseth Pasaguayo1,2, Zeina Al Masry 1, Sergio Lescano2, and Noureddine Zerhouni 1 1 FEMTO-ST institute, Univ.",True,"Critical Components’ Selection Methodology of a Microgripper for Intracorporeal Surgegy Liseth Pasaguayo1,2, Zeina Al Masry 1, Sergio Lescano2, and Noureddine Zerhouni 1 1 FEMTO-ST institute, Univ.",named_benchmark,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3156,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3156,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3156/phmc_22_3156""]",,phm-2022-3156,,,,,,[],False,True,0,full_text,False,phm,pypdf,Critical Components' Selection Methodology of a Microgripper for Intracorporeal Surgery,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3261,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3261,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3261,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3261/phmc_22_3261""]",,phm-2022-3261,,,,,,[],False,True,0,full_text,False,phm,pypdf,Remaining useful life estimation of turbofan engines using adaptive fault detection learning,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3227,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3227,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3227,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3227/phmc_22_3227""]",,phm-2022-3227,,,,,,[],False,True,0,full_text,False,phm,pypdf,Self adaptive learning scheme for Fault prognosis in oil wells and production & service lines,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3256,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3256,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3256,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3256/phmc_22_3256""]",,phm-2022-3256,,,,,,[],False,True,0,full_text,False,phm,pypdf,Integration of Nonlinear Dynamics and Machine learning for Diagnostics of a Single-Stage Gear Box,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3150,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,1,0,0.95,A4,False,"The datasets are acquired by Flanders Make, yet not publicly available.",,,False,,,"[""explicitly_unavailable""]",[],openai/gpt-4o-mini:A4@0.95; anthropic/claude-3.5-haiku:A4@0.90; google/gemini-1.5-flash:A4@0.85,10.36001/phmconf.2022.v14i1.3150,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3150,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A4@0.95; anthropic/claude-3.5-haiku:A4@0.90; google/gemini-1.5-flash:A4@0.85,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3150/phmc_22_3150""]","The datasets are acquired by Flanders Make, yet not publicly available.",phm-2022-3150,,,,,,[],False,True,1,full_text,False,phm,pypdf,A Discussion on the Differences Between the Cyclic Spectral Correlation and Coherence for Cyclostationarity-Based Condition Monitoring,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3220,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]","[""https://www.kaggle.com/prognosticshse/datasets""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""standard_benchmark_link""]","[""https://www.kaggle.com/prognosticshse/datasets""]",openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3220,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3220,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3220/phmc_22_3220""]",,phm-2022-3220,,,,,,[],False,True,0,full_text,False,phm,pypdf,Remaining Useful Life Prediction using Gaussian Process Regression Model,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3185,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,True,,C-MAPSS,"Thus, for this dataset, a relatively suitable HI can be generated using PCA, and the findings argue that there is no need to develop complicated models for CMAPSS such as deep neural networks (which is what was and is happening nowadays, resulting in tremen dous publications).",True,"Thus, for this dataset, a relatively suitable HI can be generated using PCA, and the findings argue that there is no need to develop complicated models for CMAPSS such as deep neural networks (which is what was and is happening nowadays, resulting in tremen dous publications).",named_benchmark,"[""standard_benchmark_link""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3185,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3185,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3185/phmc_22_3185""]",,phm-2022-3185,,,,,,[],False,True,0,full_text,False,phm,pypdf,Interpretable Neural Network with Limited Weights for Constructing Simple and Explainable HI using SHM Data,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3251,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3251,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3251,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3251/phmc_22_3251""]",,phm-2022-3251,,,,,,[],False,True,0,full_text,False,phm,pypdf,Variable Perturbation Based Fault Diagnosis for Industrial Process,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3145,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3145,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3145,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3145/phmc_22_3145""]",,phm-2022-3145,,,,,,[],False,True,0,full_text,False,phm,pypdf,A New Data Processing Method for Acoustic Emission Signals for Metalworking Fluid Classification,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3216,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3216,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3216,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3216/phmc_22_3216""]",,phm-2022-3216,,,,,,[],False,True,0,full_text,False,phm,pypdf,Unsupervised Data-Driven Approach for Fault Diagnostic of Spacecraft Gyroscope,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3178,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3178,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3178,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3178/phmc_22_3178""]",,phm-2022-3178,,,,,,[],False,True,0,full_text,False,phm,pypdf,ML Detection and Isolation of Functional Failures using Syndrome Diagnostics,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3245,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3245,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3245,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3245/phmc_22_3245""]",,phm-2022-3245,,,,,,[],False,True,0,full_text,False,phm,pypdf,Investigation of the Vibration Induced Harness Failure,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3214,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3214,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3214,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3214/phmc_22_3214""]",,phm-2022-3214,,,,,,[],False,True,0,full_text,False,phm,pypdf,Data Analytics and Visualization Application for Asset Health Monitoring,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3382,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3382,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3382,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3382/phmc_22_3382""]",,phm-2022-3382,,,,,,[],False,True,0,full_text,False,phm,pypdf,A Statistical Classification Approach to Valve Condition Monitoring Using Pressure Features,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3176,0,0,0,0,1,0.75,A5,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,0,0,0,0,1,0.75,A5,False,,,,False,,,"[""not_mentioned""]",[],openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,10.36001/phmconf.2022.v14i1.3176,data/processed/phm_society_conf/2022/audit/papers.jsonl#phm-2022-3176,openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65 | openai/gpt-4o-mini:A5@0.75; anthropic/claude-3.5-haiku:A5@0.70; google/gemini-1.5-flash:A5@0.65,"[""https://papers.phmsociety.org/index.php/phmconf/article/download/3176/phmc_22_3176""]",,phm-2022-3176,,,,,,[],False,True,0,full_text,False,phm,pypdf,Development of an End State Vision to Implement Digital Monitoring in Nuclear Plants,Technical Research Papers,2022
